timestamp_start,timestamp_stop,sampling_time,timestamp_root,q_1,q_2,q_3,q_w,tx,ty,tz
IMG_20240524_125631,IMG_20240524_125631,1,IMG_20240524_125631,0,0,0,1,0,0,0
IMG_20240524_125635,IMG_20240524_125635,1,IMG_20240524_125631,0.000036,0.000081,0.032480,0.999472,-0.000470,-0.011291,0.000002
IMG_20240524_125639,IMG_20240524_125639,1,IMG_20240524_125631,-0.375117,0.926609,0.001570,0.026082,0.006084,-0.008170,0.000209
IMG_20240524_125644,IMG_20240524_125644,1,IMG_20240524_125631,-0.252749,0.967180,0.004866,0.025629,0.014523,-0.038651,-0.000079
IMG_20240524_125650,IMG_20240524_125650,1,IMG_20240524_125631,-0.252474,0.967256,0.004730,0.025497,-0.004314,-0.071157,-0.001707
IMG_20240524_125840,IMG_20240524_125840,1,IMG_20240524_125840,0,0,0,1,0,0,0
IMG_20240524_125842,IMG_20240524_125842,1,IMG_20240524_125840,-0.023041,-0.036497,-0.241769,0.969374,-0.033407,-0.066093,-0.003788
IMG_20240524_125845,IMG_20240524_125845,1,IMG_20240524_125840,-0.036094,0.024101,0.987015,0.154655,0.397667,-0.145404,0.028006
IMG_20240524_125847,IMG_20240524_125847,1,IMG_20240524_125840,0.998723,0.019135,0.036089,0.029734,0.443080,-0.142318,0.030905
IMG_20240524_125910,IMG_20240524_125910,1,IMG_20240524_125840,-0.041995,-0.012625,0.569194,0.821033,0.491352,-0.204480,0.037832
IMG_20240524_131023,IMG_20240524_131023,1,IMG_20240524_131023,0,0,0,1,0,0,0
IMG_20240524_131026,IMG_20240524_131026,1,IMG_20240524_131023,-0.027914,0.035071,0.962906,-0.266089,2.059030,7.234864,-0.252034
IMG_20240524_131028,IMG_20240524_131028,1,IMG_20240524_131023,0.924696,-0.377270,0.050310,0.008505,2.148129,7.226544,-0.244786
IMG_20240524_131031,IMG_20240524_131031,1,IMG_20240524_131023,-0.061510,0.005495,0.930070,0.362155,2.141462,7.233124,-0.245827
IMG_20240524_131036,IMG_20240524_131036,1,IMG_20240524_131023,0.996095,0.062294,0.051782,0.035100,1.939163,7.252917,-0.268858
IMG_20240524_131142,IMG_20240524_131142,1,IMG_20240524_131142,0,0,0,1,0,0,0
IMG_20240524_131146,IMG_20240524_131146,1,IMG_20240524_131142,-0.063441,-0.018589,0.479611,0.874987,7.932688,6.255120,0.438792
IMG_20240524_131148,IMG_20240524_131148,1,IMG_20240524_131142,-0.021753,0.062656,0.887187,-0.456619,7.968320,6.351123,0.433284
IMG_20240524_131150,IMG_20240524_131150,1,IMG_20240524_131142,0.691500,0.719104,0.000934,0.068676,6.563952,2.586231,0.650046
IMG_20240524_131151,IMG_20240524_131151,1,IMG_20240524_131142,-0.006671,-0.066574,-0.575869,0.814800,6.559673,2.458078,0.661614
IMG_20240524_131221,IMG_20240524_131221,1,IMG_20240524_131221,0,0,0,1,0,0,0
IMG_20240524_131222,IMG_20240524_131222,1,IMG_20240524_131221,0.773261,-0.631008,0.062334,-0.003312,16.330544,-8.628889,2.654657
